visto,evento,a,b,fecha_evento
2026-07-31,Noche UFC,Kelvin Gastelum,Yousri Belgaroui,2026-09-12
2026-07-31,Noche UFC,JJ Aldrich,Regina Tarin,2026-09-12
2026-07-31,UFC Fight Night: Buckley vs. Malott,Mike Malott,Joaquin Buckley,2026-10-17
2026-07-31,UFC Fight Night: Buckley vs. Malott,Erin Blanchfield,Jasmine Jasudavicius,2026-10-17
2026-08-01,"Dana White's Contender Series: Season 10, Week 1",Anthony Wint,Matt Adams,2026-08-11
2026-08-01,"Dana White's Contender Series: Season 10, Week 1",Abe Alsaghir,Fabrizio Escarrega,2026-08-11
2026-08-01,"Dana White's Contender Series: Season 10, Week 1",Bilal Hasan,Mridul Saikia,2026-08-11
2026-08-01,"Dana White's Contender Series: Season 10, Week 1",Tom Pagliarulo,Ananias Mulumba,2026-08-11
2026-08-01,"Dana White's Contender Series: Season 10, Week 1",Joe Kropschot,Jon Kunneman,2026-08-11
2026-08-01,"Dana White's Contender Series: Season 10, Week 2",Roman Puga,Taner Trembley,2026-08-18
2026-08-01,"Dana White's Contender Series: Season 10, Week 2",Alik Lorenz,Mahamed Aly,2026-08-18
2026-08-01,"Dana White's Contender Series: Season 10, Week 2",Logan Paxton,Cristian Perez,2026-08-18
2026-08-01,UFC Fight Night: Gamrot vs Salkilld,Miles Johns,Jessie Rosas,2026-08-08
2026-08-01,"Dana White's Contender Series: Season 10, Week 2",Trent Miller,Douglas Rodrigues,2026-08-18
2026-08-01,"Dana White's Contender Series: Season 10, Week 2",Kaik Brito,Namo Fazil,2026-08-18
2026-08-01,UFC Fight Night: Gamrot vs Salkilld,Manoel Sousa,Richie Miranda,2026-08-08
2026-08-03,UFC Fight Night: Gamrot vs Salkilld,Louie Sutherland,José Montanha,2026-08-08
2026-08-04,UFC Fight Night: Nurmagomedov vs. Song,Namsrai Batbayar,Andre Lima,2026-08-29
2026-08-04,UFC Fight Night: Nurmagomedov vs. Song,Jingnan Xiong,Julia Polastri,2026-08-29
2026-08-04,Noche UFC: Rodriguez vs. Silva,Yair Rodriguez,Jean Silva,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Curtis Blaydes,Waldo Cortes Acosta,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Alexa Grasso,Manon Fiorot,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Brandon Moreno,Joseph Morales,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Tim Elliott,Édgar Cháirez,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Kelvin Gastelum,Yousri Belgaroui,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,JJ Aldrich,Regina Tarin,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Dan Ige,David Martinez,2026-09-12
2026-08-04,Noche UFC: Rodriguez vs. Silva,Muslim Salikhov,Ignacio Bahamondes,2026-09-12
2026-08-06,UFC Fight Night: Gamrot vs Salkilld,Gigi Canuto,Carol Foro,2026-08-08
2026-08-06,UFC 330: Makhachev vs. Machado Garry,Chidi Njokuani,Joel Álvarez,2026-08-15
2026-08-06,UFC 330: Makhachev vs. Machado Garry,Lucas Fernando,Rafael Tobias,2026-08-15
2026-08-06,UFC 331: Van vs. Pantoja 2,Alexandre Pantoja,Joshua Van,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Arman Tsarukyan,Mauricio Ruffy,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Patricio Pitbull,Dooho Choi,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Renato Moicano,Brian Ortega,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Alonzo Menifield,Iwo Baraniewski,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Gable Steveson,Sean Sharaf,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Marlon Vera,Charles Jourdain,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Tai Tuivasa,Robelis Despaigne,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Edmen Shahbazyan,Brunno Ferreira,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Giga Chikadze,Joanderson Brito,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Casey O'Neill,Eduarda Moura,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Ozzy Diaz,Ryan Gandra,2026-09-19
2026-08-06,UFC 331: Van vs. Pantoja 2,Michael Aswell,JooSang Yoo,2026-09-19
2026-08-06,UFC Fight Night: Buckley vs. Malott,Nate Landwehr,Mandel Nallo,2026-10-17
