ts_utc,accion,revisor,predictor,evento,fecha_evento,a,b,pick,metodo,round,confianza,origen,revisado
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Jan Blachowicz,Navajo Stirling,b,dec,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Marcin Tybura,Aleksandar Rakic,b,ko,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Duško Todorović,Robert Valentin,b,sub,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Gilbert Urbina,Vlasto Čepo,b,ko,1.0,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Milos Janicic,Noah Gugnon,a,,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Ludovit Klein,Tofiq Musayev,a,dec,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Oban Elliott,Michael Oliveira,b,ko,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Borislav Nikolic,Mark Vologdin,a,dec,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Dennis Buzukja,Bogdan Grad,b,dec,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Kyle Prepolec,Mateusz Rębecki,b,sub,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Hailey Cowan,Nina Milošević,b,ko,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Alexander Poppeck,Jovan Leka,b,ko,,,manual,True
2026-08-02T20:58:28.351318+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Stephanie Luciano,Marina Spasić,a,dec,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Daniel Rodriguez,Uroš Medić,b,ko,1.0,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Jan Blachowicz,Navajo Stirling,b,dec,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Marcin Tybura,Aleksandar Rakic,b,ko,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Duško Todorović,Robert Valentin,b,sub,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Gilbert Urbina,Vlasto Čepo,b,ko,1.0,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Milos Janicic,Noah Gugnon,a,,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Ludovit Klein,Tofiq Musayev,a,dec,,,manual,True
2026-08-02T20:58:28.485505+00:00,pick_revised,usuario_app,CagePropHet,UFC Fight Night: Medić vs. Rodriguez,2026-08-01,Oban Elliott,Michael Oliveira,b,ko,,,manual,True
